titulo,ingrediente,cantidad,unidad
Guacamole,cebolla blanca,1.0,pieza
Guacamole,aguacate maduro,3.0,pieza
Guacamole,chile serrano,1.0,pieza
Guacamole,cilantro,1.0,manojo
Guacamole,limón,2.0,pieza
Guacamole,sal,1.0,pizca
Pico de gallo,jitomate,4.0,pieza
Pico de gallo,cebolla,0.5,pieza
Pico de gallo,chile serrano,2.0,pieza
Pico de gallo,cilantro,0.5,manojo
Pico de gallo,limón,2.0,pieza
Pico de gallo,sal,1.0,cucharadita
Tacos al pastor,cerdo,800.0,g
Tacos al pastor,chile guajillo,4.0,pieza
Tacos al pastor,achiote,2.0,cucharada
Tacos al pastor,piña,4.0,rebanada
Tacos al pastor,tortillas de maíz,12.0,pieza
Tacos al pastor,cebolla,1.0,pieza
Tacos al pastor,cilantro,1.0,manojo
Tinga de pollo,pechuga de pollo,600.0,g
Tinga de pollo,jitomate,4.0,pieza
Tinga de pollo,diente de ajo,2.0,pieza
Tinga de pollo,chipotle en adobo,2.0,pieza
Tinga de pollo,cebolla,1.0,pieza
Tinga de pollo,aceite,2.0,cucharada
Enchiladas verdes,tomate verde,500.0,g
Enchiladas verdes,chile serrano,3.0,pieza
Enchiladas verdes,cilantro,0.5,manojo
Enchiladas verdes,tortillas de maíz,10.0,pieza
Enchiladas verdes,pollo deshebrado,400.0,g
Enchiladas verdes,crema,120.0,ml
Enchiladas verdes,queso fresco,150.0,g
Pozole rojo,maíz pozolero,1.0,kg
Pozole rojo,espinazo de cerdo,800.0,g
Pozole rojo,chile guajillo,6.0,pieza
Pozole rojo,chile ancho,3.0,pieza
Pozole rojo,diente de ajo,4.0,pieza
Pozole rojo,orégano,1.0,cucharadita
Pozole rojo,lechuga,0.5,pieza
Pozole rojo,rábano,6.0,pieza
Chiles en nogada,chile poblano,6.0,pieza
Chiles en nogada,res molida,250.0,g
Chiles en nogada,cerdo molido,250.0,g
Chiles en nogada,durazno,1.0,pieza
Chiles en nogada,manzana,1.0,pieza
Chiles en nogada,nuez de Castilla,150.0,g
Chiles en nogada,crema,200.0,ml
Chiles en nogada,granada,1.0,pieza
Sopa de tortilla,tortillas de maíz,8.0,pieza
Sopa de tortilla,jitomate,4.0,pieza
Sopa de tortilla,chile pasilla,2.0,pieza
Sopa de tortilla,diente de ajo,2.0,pieza
Sopa de tortilla,caldo de pollo,1.2,l
Sopa de tortilla,aguacate,1.0,pieza
Sopa de tortilla,queso panela,100.0,g
Chilaquiles rojos,jitomate,6.0,pieza
Chilaquiles rojos,chile de árbol,4.0,pieza
Chilaquiles rojos,diente de ajo,2.0,pieza
Chilaquiles rojos,totopos,400.0,g
Chilaquiles rojos,crema,100.0,ml
Chilaquiles rojos,queso fresco,120.0,g
Chilaquiles rojos,cebolla,0.5,pieza
Esquites,elote,6.0,pieza
Esquites,mantequilla,2.0,cucharada
Esquites,epazote,3.0,rama
Esquites,mayonesa,4.0,cucharada
Esquites,queso cotija,80.0,g
Esquites,chile piquín,1.0,cucharadita
Esquites,limón,2.0,pieza
